title,images,serviceCategory,type,description,price,stateAbbreviation,city,phoneNumber,averageRating,numberOfReviews
235th Barber Street Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/235th_barber_street_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/235th_barber_street_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/235th_barber_street_marrakech/image_3.jpg']",Esthetician,Beauty Spa,Expert esthetician services offering skincare and beauty treatments in a welcoming environment.,200,,,· +212 666-860166,4.7,30
Razor Bros,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/razor_bros/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/razor_bros/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/razor_bros/image_3.jpg']",Esthetician,Beauty Services,Expert esthetician services for radiant skin and personalized beauty treatments.,200,CAS,Casablanca,· +212 520-630289,4.4,32
The House Elite barber,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_house_elite_barber/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_house_elite_barber/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_house_elite_barber/image_3.jpg']",Esthetician,Barber Shop,Expert grooming and skincare services to elevate your look and confidence.,200,CAS,Casablanca,· +212 669-610183,4.3,95
Salon En Paticulier SG.,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_en_paticulier_sg_/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_en_paticulier_sg_/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_en_paticulier_sg_/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services offering personalized skincare treatments for radiant skin.,200,,,· +212 628-249953,3.5,126
Coiffeur Ennasim,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_ennasim/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_ennasim/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_ennasim/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and beauty treatments tailored to your individual style.,200,CAS,Casablanca,nan,3.3,147
Salon moudakkir Charaf,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_moudakkir_charaf/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_moudakkir_charaf/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_moudakkir_charaf/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician services providing rejuvenating skincare and beauty treatments.,200,,,· +212 666-645151,4.8,55
مراد الحلاق Mourad coiffeur,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____________mourad_coiffeur/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____________mourad_coiffeur/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____________mourad_coiffeur/image_3.jpg']",Esthetician,Hair Salon,"Expert hair cutting and styling services by Mourad, tailored to your unique look.",200,,,nan,3.9,10
"NS HOUSE OF BEAUTY , Salon, beauté , coiffure (coiffeur) , Femme (Manucure russe, Pédicure, Microblading, Onglerie, cils)","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ns_house_of_beauty___salon__beaut____coiffure__coiffeur____femme__manucure_russe__p_dicure__microblading__onglerie__cils_/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ns_house_of_beauty___salon__beaut____coiffure__coiffeur____femme__manucure_russe__p_dicure__microblading__onglerie__cils_/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ns_house_of_beauty___salon__beaut____coiffure__coiffeur____femme__manucure_russe__p_dicure__microblading__onglerie__cils_/image_3.jpg']",Esthetician,Beauty Salon,"Offering a range of beauty services including hair, nails, and microblading for women.",200,CAS,Casablanca,· +212 661-610977,4.9,65
Salon Lady SPA Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_lady_spa_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_lady_spa_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_lady_spa_marrakech/image_3.jpg']",Esthetician,Beauty Spa,Relax and rejuvenate with expert beauty treatments at our Marrakech salon.,200,,,· +212 721-162160,4.5,82
Salon de coiffure pour homme,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_pour_homme/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_pour_homme/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_pour_homme/image_3.jpg']",Esthetician,Barber Shop,Expert grooming and stylish haircuts tailored for men.,200,,,nan,3.5,143
Salon Mehdi Benbarka,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mehdi_benbarka/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mehdi_benbarka/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_mehdi_benbarka/image_3.jpg']",Esthetician,Esthetician,Expert esthetic services for beauty and relaxation in a welcoming atmosphere.,200,CAS,Casablanca,· +212 672-836314,4.3,91
Salon Paul Montana,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paul_montana/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paul_montana/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_paul_montana/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services specializing in skincare and beauty treatments.,200,CAS,Casablanca,· +212 664-227144,3.6,55
Salon Estebel & Spa,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_estebel___spa/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_estebel___spa/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_estebel___spa/image_3.jpg']",Esthetician,Spa and Wellness,Relax and rejuvenate with expert esthetician services at Salon Estebel & Spa.,200,,,· +212 5244-33232,3.3,95
Bold Beauty Lounge,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bold_beauty_lounge/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bold_beauty_lounge/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bold_beauty_lounge/image_3.jpg']",Esthetician,Esthetician,Revitalize your skin with personalized treatments at Bold Beauty Lounge.,200,CAS,Casablanca,· +212 619-249249,3.6,103
Coiffeur Haddia mehdi,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_haddia_mehdi/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_haddia_mehdi/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_haddia_mehdi/image_3.jpg']",Esthetician,Hair Salon,Expert haircuts and styling services by Coiffeur Haddia Mehdi for a stunning look.,200,MAR,Safi,· +212 629-943162,4.6,21
Villa Hair : Beauty Centre,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/villa_hair___beauty_centre/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/villa_hair___beauty_centre/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/villa_hair___beauty_centre/image_3.jpg']",Esthetician,Beauty Salon,Expert esthetician services offering luxurious hair and beauty treatments.,200,CAS,Casablanca,· +212 5223-51382,4.7,97
Salon Hollywood,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hollywood/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hollywood/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hollywood/image_3.jpg']",Esthetician,Esthetician,"Expert esthetician services offering skincare, facials, and beauty treatments for a glowing complexion.",200,CAS,Casablanca,· +212 5225-24566,4.3,25
Salon Palace,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_palace/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_palace/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_palace/image_3.jpg']",Esthetician,Esthetician Services,Relax and rejuvenate with expert skincare and beauty treatments at Salon Palace.,200,CAS,Casablanca,· +212 5229-41296,5.0,149
Audace Beauté & Spa,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/audace_beaut____spa/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/audace_beaut____spa/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/audace_beaut____spa/image_3.jpg']",Esthetician,Beauty Spa,Relax and rejuvenate with our premium spa and beauty treatments.,200,CAS,Casablanca,· +212 5222-20478,3.9,31
Coiffeur pour homme,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme/image_3.jpg']",Esthetician,Barber Shop,Expert grooming and stylish cuts tailored for men.,200,CAS,Casablanca,nan,3.4,94
Saraya Beauty Salon,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/saraya_beauty_salon/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/saraya_beauty_salon/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/saraya_beauty_salon/image_3.jpg']",Esthetician,Beauty Salon,Expert esthetician services for radiant skin and rejuvenating treatments.,200,CAS,Casablanca,· +212 520-527491,4.8,127
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_shop_casablanca_coupe_king___barber_shop_casablanca_oulfa_the_barbershop_casablanca_la_meilleure_barbershop/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_shop_casablanca_coupe_king___barber_shop_casablanca_oulfa_the_barbershop_casablanca_la_meilleure_barbershop/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_shop_casablanca_coupe_king___barber_shop_casablanca_oulfa_the_barbershop_casablanca_la_meilleure_barbershop/image_3.jpg']",Esthetician,Barber Shop,"Top-notch barber services in Casablanca, offering the best haircuts and grooming.",200,CAS,Casablanca,· +212 713-222324,5.0,54
Amazay,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amazay/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amazay/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/amazay/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services for glowing skin and rejuvenating treatments.,200,CAS,Casablanca,· +212 630-681100,4.0,121
Zen look,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zen_look/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zen_look/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zen_look/image_3.jpg']",Esthetician,Facial Treatments,Revitalize your skin with expert esthetician services tailored to your unique beauty needs.,200,CAS,Casablanca,· +212 5221-03563,3.8,89
Salon Ahmed pour Femme et hommes,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ahmed_pour_femme_et_hommes/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ahmed_pour_femme_et_hommes/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_ahmed_pour_femme_et_hommes/image_3.jpg']",Esthetician,Unisex Salon,Expert hair and beauty services for both men and women in a welcoming atmosphere.,200,MAR,Safi,· +212 668-966459,4.2,79
Salon Zakaria,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zakaria/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zakaria/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_zakaria/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician offering personalized skincare and beauty treatments in a relaxing environment.,200,CAS,Casablanca,· +212 664-597401,5.0,11
Bogssni barber Meknes,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bogssni_barber_meknes/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bogssni_barber_meknes/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bogssni_barber_meknes/image_3.jpg']",Esthetician,Barber Shop,Expert barbering services with a focus on style and precision in the heart of Meknes.,200,FES,Meknes,· +212 668-413711,4.1,89
Youssef Hair Creation,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/youssef_hair_creation/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/youssef_hair_creation/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/youssef_hair_creation/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and personalized services for a stunning look.,200,CAS,Casablanca,· +212 5222-33787,4.7,41
Laskarina,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/laskarina/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/laskarina/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/laskarina/image_3.jpg']",Esthetician,Aesthetic Services,Expert esthetician offering personalized skin care and beauty treatments.,200,CAS,Casablanca,· +212 689-864103,3.7,68
Salon Bizouran,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_bizouran/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_bizouran/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_bizouran/image_3.jpg']",Esthetician,Skincare,Expert esthetician services for glowing skin and rejuvenation.,200,,,· +212 5222-95082,3.7,33
Studio Joe,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_joe/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_joe/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/studio_joe/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services for glowing skin and personalized beauty treatments.,200,CAS,Casablanca,· +212 5229-42171,4.5,26
Pause VIP Salon de coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/pause_vip_salon_de_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/pause_vip_salon_de_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/pause_vip_salon_de_coiffure/image_3.jpg']",Esthetician,Hair Salon,Exclusive hair styling and beauty treatments in a luxurious setting.,200,CAS,Casablanca,· +212 5227-96674,3.6,147
Barber store,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_store/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_store/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_store/image_3.jpg']",Esthetician,Barber Shop,Expert haircuts and grooming services for all styles in a friendly atmosphere.,200,,,· +212 661-112342,4.8,120
Beauty Salon by Yasmin – Sofitel Marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_salon_by_yasmin___sofitel_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_salon_by_yasmin___sofitel_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_salon_by_yasmin___sofitel_marrakech/image_3.jpg']",Esthetician,Beauty Salon,Luxurious beauty treatments and expert esthetic services in a serene Marrakech setting.,200,,,nan,3.1,70
M.T.O. Coiffure by Ludovic,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_t_o__coiffure_by_ludovic/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_t_o__coiffure_by_ludovic/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/m_t_o__coiffure_by_ludovic/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and grooming services tailored to your unique look.,200,,,· +212 5244-32224,4.2,66
MUSKA Beauty & Spa,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/muska_beauty___spa/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/muska_beauty___spa/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/muska_beauty___spa/image_3.jpg']",Esthetician,Beauty and Spa,Relax and rejuvenate with our luxurious beauty and spa treatments.,200,,,· +212 661-432278,4.9,119
Coiffure Atlas,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_atlas/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_atlas/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_atlas/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and personal care services in a relaxing environment.,200,,,nan,4.5,88
Cazance,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/cazance/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/cazance/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/cazance/image_3.jpg']",Esthetician,Skincare,Expert esthetician services for radiant skin and rejuvenating treatments.,200,,,· +212 664-114546,3.1,137
Salon CHRIS Coiffure & Esthétique,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chris_coiffure___esth_tique/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chris_coiffure___esth_tique/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chris_coiffure___esth_tique/image_3.jpg']",Esthetician,Salon,Expert hair styling and aesthetic treatments in a welcoming environment.,200,,,· +212 5244-31413,3.5,36
Zara Coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zara_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zara_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/zara_coiffure/image_3.jpg']",Esthetician,Hair Salon,Expert hair and beauty solutions tailored to enhance your unique style.,200,DRA,Tinghir,· +212 706-329933,4.2,9
Salon hair spa,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_spa/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_spa/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_spa/image_3.jpg']",Esthetician,Hair Spa,Revitalize your hair with our luxurious salon spa treatments tailored just for you.,200,CAS,Casablanca,· +212 5224-02292,4.7,130
THE FIRST CLASS,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_first_class/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_first_class/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_first_class/image_3.jpg']",Esthetician,Esthetician,Luxurious esthetician services focused on enhancing your natural beauty and well-being.,200,RAB,Kenitra,· +212 777-454812,4.7,142
Barber Stars,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_stars/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_stars/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_stars/image_3.jpg']",Esthetician,Barber Shop,Expert barbers delivering stylish haircuts and grooming services.,200,,,· +212 525-076666,3.8,11
MATADI Barber Shop,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/matadi_barber_shop/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/matadi_barber_shop/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/matadi_barber_shop/image_3.jpg']",Esthetician,Barber Shop,Expert haircuts and grooming services tailored for every client.,200,,,· +212 634-518190,3.2,46
Coiffeur anass ezzaki,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_anass_ezzaki/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_anass_ezzaki/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_anass_ezzaki/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and grooming services tailored to your unique style.,200,CAS,Casablanca,nan,3.6,138
Coiffeur El Bouti,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_el_bouti/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_el_bouti/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_el_bouti/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and personalized beauty treatments in a welcoming atmosphere.,200,CAS,Casablanca,· +212 5228-64361,4.1,10
Salon New York de Coiffure Hommes,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_new_york_de_coiffure_hommes/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_new_york_de_coiffure_hommes/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_new_york_de_coiffure_hommes/image_3.jpg']",Esthetician,Hair Salon,Experience top-notch haircuts and grooming tailored for men at our salon.,200,,,· +212 616-559020,3.7,148
Salon Hair Secret,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_secret/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_secret/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_hair_secret/image_3.jpg']",Esthetician,Hair Salon,Experience personalized hair care and styling tailored just for you.,200,CAS,Casablanca,· +212 655-798559,3.4,109
Salon Said hair stylist,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_said_hair_stylist/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_said_hair_stylist/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_said_hair_stylist/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and personalized care for every client.,200,CAS,Casablanca,· +212 675-405150,3.3,115
Beauty Club,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_club/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_club/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_club/image_3.jpg']",Esthetician,Esthetician Service,Revitalize your skin with personalized esthetician treatments at Beauty Club.,200,RAB,Rabat,· +212 5377-79434,4.1,111
Salon Station Louis XVI,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_station_louis_xvi/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_station_louis_xvi/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_station_louis_xvi/image_3.jpg']",Esthetician,Spa and Skincare,Indulge in luxurious skincare treatments at Salon Station Louis XVI for the ultimate pampering experience.,200,,,· +212 5244-58837,3.5,79
Revolv'hair by Abdel Styles,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/revolv_hair_by_abdel_styles/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/revolv_hair_by_abdel_styles/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/revolv_hair_by_abdel_styles/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and care to enhance your natural beauty.,200,CAS,Casablanca,· +212 613-993719,4.8,96
The BarberShop - Carre Eden,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barbershop_-_carre_eden/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barbershop_-_carre_eden/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_barbershop_-_carre_eden/image_3.jpg']",Esthetician,Barbershop,Expert grooming and styling services in a chic environment.,200,,,· +212 650-050507,3.0,59
Ô Comptoir des Dames,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/__comptoir_des_dames/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/__comptoir_des_dames/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/__comptoir_des_dames/image_3.jpg']",Esthetician,Esthetician,Luxurious skincare and beauty treatments tailored for women at Ô Comptoir des Dames.,200,CAS,Casablanca,· +212 520-405270,3.1,26
Mishka institut,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mishka_institut/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mishka_institut/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mishka_institut/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician services focusing on skincare and beauty treatments.,200,CAS,Casablanca,· +212 660-196516,3.4,130
Centre de Beauté Barnak,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/centre_de_beaut__barnak/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/centre_de_beaut__barnak/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/centre_de_beaut__barnak/image_3.jpg']",Esthetician,Esthetician,Relaxing and rejuvenating esthetic services for glowing skin and overall well-being.,200,CAS,Casablanca,· +212 605-837799,4.8,14
Diamont's Hair,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/diamont_s_hair/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/diamont_s_hair/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/diamont_s_hair/image_3.jpg']",Esthetician,Hair Salon,Expert esthetician services specializing in hair care and styling for all occasions.,200,CAS,Casablanca,· +212 5222-75680,4.5,133
Coiffeur pour homme Al Ghiwane,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme_al_ghiwane/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme_al_ghiwane/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_pour_homme_al_ghiwane/image_3.jpg']",Esthetician,Barber Shop,Expert haircuts and grooming for men with a stylish touch.,200,,,· +212 601-041857,4.1,43
Salon Richelieu,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_richelieu/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_richelieu/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_richelieu/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services for radiant skin and rejuvenating treatments.,200,CAS,Casablanca,· +212 520-394769,3.5,101
